epoch,train_loss,train_acc,val_loss,val_acc
1,1.3342207070879946,0.549942984690783,0.9545892676599804,0.6653322658126501
2,0.9328093505436137,0.6756192833054322,0.8112881241324374,0.7135890530606304
3,0.8180474312275313,0.7114661426110586,0.7958492756983158,0.7150447630831939
4,0.7366781449254737,0.7391852876240387,0.7349984014873309,0.7430671810175413
5,0.6857677006572835,0.7560715238857753,0.7230882380447565,0.7433947157726181
6,0.6298903910551691,0.7743042919183832,0.7055025423091089,0.7516194774001019
7,0.5856484105965484,0.7878787878787878,0.7162102855824949,0.7510735861416405
8,0.5435732532084996,0.8050076424776185,0.69440402562237,0.7612999490501492
9,0.5082813782840377,0.8175388795885193,0.7092258978188494,0.7607540577916879
10,0.47799300003545464,0.8266491981463959,0.6985772890211306,0.7626464808210205
11,0.44551029842018186,0.8371788339762719,0.7206740351177578,0.7598442390275857
12,0.4143353984904844,0.8500497367591042,0.7413726108148287,0.7635562995851226
13,0.39323262479778537,0.8569764902831356,0.7606146813601644,0.7584977072567145
14,0.3714037105346373,0.8644006113982095,0.7567169865811181,0.7639202270907636
15,0.34934304663202637,0.8728315986122231,0.7717070678660196,0.7654851153650193
16,0.3278716696484898,0.8797219593856904,0.7958581707425336,0.7660310066234806
17,0.3108563189760527,0.8875706625906786,0.8034364774902364,0.7634835140839945
18,0.2976481655795296,0.8927626950044885,0.8134733230250832,0.7634107285828663
19,0.27990490467483886,0.8983065240070844,0.8334458247266384,0.7631195865783535
20,0.2684302039115997,0.9023582502365529,0.863949918753022,0.764502511099789
21,0.25364212744183084,0.9080840429919693,0.8791191020519663,0.7650847951088143
22,0.2403675065308236,0.9136642647451294,0.8778239693502141,0.764975616857122
23,0.23133942687962922,0.9160540553655045,0.9015624814917145,0.764502511099789
24,0.22552075214855916,0.9181163112308028,0.9112297520079427,0.7647208676031735
25,0.21248622907824852,0.922738190552442,0.9229629732686295,0.7651211878593784
26,0.20423424182905342,0.9269597496178761,0.9547524304531905,0.7651575806099425
