epoch,train_loss,train_acc,val_loss,val_acc
1,1.4978279607057727,0.4976223402964796,1.0734052372009997,0.6249363126865128
2,1.0254603349928524,0.6409005992672926,0.97887262707845,0.6537957638838343
3,0.8517616938065805,0.6962418419584152,0.9274542839109433,0.6777058010044399
4,0.727420402979314,0.7377053157677658,0.9158787813168598,0.6860761336341801
5,0.6272410199909829,0.7726180944755805,0.9299949507099354,0.6873498799039232
6,0.5366527612211287,0.8044496203023025,0.9647114447903898,0.6917897954727418
7,0.4678837822327538,0.8292816071038649,1.018021061713887,0.6889875536793071
8,0.4052808539217082,0.8522939563772229,1.0541055361962022,0.6912075114637164
9,0.35193774959280216,0.8730256932818983,1.1221964776025726,0.6921901157289468
10,0.31385527851135187,0.8873765679210035,1.157549315686222,0.6918261882233059
11,0.2799357506757569,0.8999563286993231,1.2211282560334074,0.6905524419535628
12,0.2531687730048529,0.9093456583448577,1.2874427123555312,0.6889147681781789
13,0.2282196470281933,0.9190867845791785,1.3368959632344326,0.6878957711623844
14,0.20761951103645707,0.9272266297886794,1.3453810929436465,0.6900793361962297
15,0.19107204510672376,0.9320911274474125,1.3980694747368523,0.6842564961059757
16,0.17738763877003627,0.9381201931241964,1.4490228573978707,0.6888783754276148
17,0.1689853617543176,0.9415289807603658,1.467728784020286,0.6847296018633088
18,0.15219986955437878,0.9468180605090133,1.5144887555243363,0.6882596986680253
19,0.1480135962831403,0.948904578208021,1.4929026843366755,0.6902612999490502
