epoch,train_loss,train_acc,val_loss,val_acc
1,1.375948806950818,0.5358104665550623,0.9745346938898247,0.6533226581265013
2,0.9901340908511027,0.6551544265715603,0.8120028063610432,0.7165004731057574
3,0.8884660158742275,0.6894363976029309,0.7869326661651559,0.7235606667151904
4,0.8197887865601662,0.7123638304583061,0.7346501541290406,0.7365164859160055
5,0.771467273240585,0.7281582842031201,0.6879282410908877,0.756241356721741
6,0.7305352658392731,0.7414658999927215,0.6864528874875816,0.7555862872115875
7,0.7024981355185268,0.7521653686585632,0.6704105739163488,0.759953417279278
8,0.6654426504672983,0.7638717034233448,0.6571136040583093,0.7671955746415314
9,0.6434187507468586,0.7705073149428634,0.6395229854102357,0.7739646262464517
10,0.6194912897812955,0.7787684693209113,0.6388482147884279,0.7763301550331174
11,0.6009701526150258,0.7833903486425504,0.6088260518636008,0.7843729529077808
12,0.5809752280440055,0.791942645025111,0.6201850285704665,0.7805153213479875
13,0.5635258014086949,0.7976805686973821,0.6016963252473566,0.7892131887328044
14,0.5536381871620439,0.8005677269087997,0.610788615304003,0.785282771671883
15,0.5336537388981887,0.8074216949317029,0.6188644248808096,0.785719484678652
16,0.5227908947893859,0.8107576970667443,0.607896558911669,0.7872115874517797
17,0.5096222643422578,0.8171628211660237,0.612134914378584,0.7887036902249072
18,0.49420008206554333,0.8206565252201762,0.5923972418712766,0.7958366693354684
19,0.48328343205372487,0.8238712181866705,0.5932982025495982,0.796491738845622
20,0.4720308339257114,0.8291724288521727,0.599280024170919,0.7949996360724944
21,0.46215145310324335,0.8318533614770605,0.5964810734050608,0.7955455273309556
22,0.455749354947269,0.8325933474051969,0.6001701256282916,0.794017031807264
23,0.4433812023902572,0.8383676638280321,0.6032824886705046,0.7959822403377247
24,0.4312952165226946,0.8428318412305602,0.6079202259729606,0.7937986753038795
25,0.42540627186668056,0.8453429410194823,0.5992357377680084,0.7999126573986461
26,0.4185686707973862,0.8475022442196182,0.6038352368145029,0.8016231166751583
27,0.41120963235069985,0.8488609069073441,0.6061787757561867,0.7986753038794672
28,0.4015871506371047,0.8522454327098042,0.6033793764348998,0.8007860834121843
29,0.39603571638130153,0.85520537642235,0.6177786879642222,0.7961642040905451
30,0.3841829278292817,0.8582987602202975,0.6196649283316035,0.8000582284009026
31,0.37951037716632385,0.8617924642744499,0.6178679012455737,0.8000582284009026
32,0.3759841391530607,0.8625931047868598,0.6297100822263881,0.7952179925758789
33,0.3686178042863942,0.8656379649173884,0.6305325208241975,0.7942717810612127
34,0.3589570836073471,0.8678579227017978,0.6142912275085405,0.8016959021762865
35,0.35561587178175114,0.8690588834704127,0.6258749353138586,0.8003493704054152
36,0.3494487444619566,0.8713031030885314,0.6268372238441554,0.7987116966300313
37,0.3461945632528084,0.873195526117864,0.6198753370486612,0.8022417934347478
38,0.3376626677395929,0.8748453308101026,0.6342062094307196,0.796928451852391
39,0.3333460813437984,0.8774170851832982,0.6325025830399704,0.7999854428997744
40,0.3285697130022934,0.879418686464323,0.6326430681551967,0.8028240774437732
41,0.3225358306927536,0.8821602736734843,0.6342897992726193,0.8007496906616202
42,0.3134166399109573,0.8858723342310212,0.6451014666302564,0.8022781861853119
43,0.311975871569531,0.885241526554577,0.6429152143158605,0.8038430744595677
44,0.3059295238244394,0.8886139214401825,0.6529255885772114,0.8027876846932092
45,0.29968728364427893,0.8880922920154305,0.6471367064968919,0.8013319746706457
46,0.298987081346199,0.8903607734672586,0.6466661995957794,0.801077225416697
47,0.29569612496207826,0.8910401048111216,0.6573402728999023,0.800240192153723
48,0.29332065702447796,0.8910522357279763,0.6661738488852731,0.799002838634544
49,0.286704558803487,0.8943397141955989,0.6702050316437024,0.8005677269087997
50,0.2807890033679697,0.8973239197418541,0.6793325563533588,0.8000582284009026
