epoch,train_loss,train_acc,val_loss,val_acc
1,1.3019341025246158,0.563141422228692,0.8344402874875723,0.708894388237863
2,0.8616242321276087,0.6972244462236455,0.7123094900040154,0.7474343110852318
3,0.7507445094603755,0.73474537205522,0.647085149051824,0.7708712424485042
4,0.6780839275614728,0.7583885290050222,0.6417975507368036,0.7693791396753766
5,0.6204538745217458,0.7797874663367057,0.6176750018516997,0.7766940825387583
6,0.5784221671165195,0.794296042894922,0.5877400204008936,0.7919790377756751
7,0.5422194467373347,0.8061479486619598,0.5855860949881482,0.7950724215736226
8,0.5095397156748899,0.8160953004828105,0.570699850603937,0.8000582284009026
9,0.4801770617417738,0.8266370672295412,0.5813974522895293,0.7980566271198777
10,0.45534100225839036,0.8349224834412985,0.5624439910914285,0.8047165004731057
11,0.4309212580928058,0.8442632894194143,0.5589663495497895,0.8077734915204892
12,0.4054573255044033,0.8537496663997864,0.5499955094275373,0.8145789358759735
13,0.38761891434453366,0.860591503505835,0.5563630807503003,0.8102481985588471
14,0.37097688209620944,0.8667540092680205,0.5696194182144033,0.8109396608195647
15,0.3554119826979919,0.8722129218526337,0.5772244610964484,0.8101026275565907
16,0.3379913580846552,0.876943979425965,0.5782587789224133,0.8121406215881797
17,0.3229956396344731,0.8821966664240484,0.5893927867760156,0.8117403013319747
18,0.3095286195278822,0.8865395346580295,0.5966094234371664,0.8120678360870515
19,0.29814620653516377,0.8915617342358736,0.607313750109321,0.8117403013319747
20,0.2854080753599356,0.8952859257102652,0.6098586936446115,0.8103209840599752
21,0.2737730396550198,0.9010117184656816,0.6123634557057975,0.8125773345949487
22,0.2614548177104657,0.905184753863697,0.6376056380169179,0.8101026275565907
